Date,Open,High,Low,Close,Volume,Adj Close
2019-01-31,0,0,0,339.5,0,0
2019-02-01,0,0,0,339.8500061035156,0,0
2019-02-04,0,0,0,351.3399963378906,0,0
2019-02-05,0,0,0,355.80999755859375,0,0
2019-02-06,0,0,0,352.19000244140625,0,0
2019-02-07,0,0,0,344.7099914550781,0,0
2019-02-08,0,0,0,347.57000732421875,0,0
2019-02-11,0,0,0,345.7300109863281,0,0
2019-02-12,0,0,0,359.9700012207031,0,0
2019-02-13,0,0,0,351.7699890136719,0,0
2019-02-14,0,0,0,359.07000732421875,0,0
2019-02-15,0,0,0,356.8699951171875,0,0
2019-02-19,0,0,0,361.9200134277344,0,0
2019-02-20,0,0,0,359.9100036621094,0,0
2019-02-21,0,0,0,356.9700012207031,0,0
2019-02-22,0,0,0,363.0199890136719,0,0
2019-02-25,0,0,0,363.9100036621094,0,0
2019-02-26,0,0,0,364.9700012207031,0,0
2019-02-27,0,0,0,362.8699951171875,0,0
2019-02-28,0,0,0,358.1000061035156,0,0
2019-03-01,0,0,0,357.32000732421875,0,0
2019-03-04,0,0,0,351.0400085449219,0,0
2019-03-05,0,0,0,354.29998779296875,0,0
2019-03-06,0,0,0,359.6099853515625,0,0
2019-03-07,0,0,0,352.6000061035156,0,0
2019-03-08,0,0,0,349.6000061035156,0,0
2019-03-11,0,0,0,358.8599853515625,0,0
2019-03-12,0,0,0,356.2699890136719,0,0
2019-03-13,0,0,0,361.2099914550781,0,0
2019-03-14,0,0,0,358.82000732421875,0,0
2019-03-15,0,0,0,361.4599914550781,0,0
2019-03-18,0,0,0,363.44000244140625,0,0
2019-03-19,0,0,0,358.7799987792969,0,0
2019-03-20,0,0,0,375.2200012207031,0,0
2019-03-21,0,0,0,377.8699951171875,0,0
2019-03-22,0,0,0,361.010009765625,0,0
2019-03-25,0,0,0,366.2300109863281,0,0
2019-03-26,0,0,0,359.9700012207031,0,0
2019-03-27,0,0,0,353.3699951171875,0,0
2019-03-28,0,0,0,354.6099853515625,0,0
2019-03-29,0,0,0,356.55999755859375,0,0
2019-04-01,0,0,0,366.9599914550781,0,0
2019-04-02,0,0,0,367.7200012207031,0,0
2019-04-03,0,0,0,369.75,0,0
2019-04-04,0,0,0,367.8800048828125,0,0
2019-04-05,0,0,0,365.489990234375,0,0
2019-04-08,0,0,0,361.4100036621094,0,0
2019-04-09,0,0,0,364.7099914550781,0,0
2019-04-10,0,0,0,363.9200134277344,0,0
2019-04-11,0,0,0,367.6499938964844,0,0
2019-04-12,0,0,0,351.1400146484375,0,0
2019-04-15,0,0,0,348.8699951171875,0,0
2019-04-16,0,0,0,359.4599914550781,0,0
2019-04-17,0,0,0,354.739990234375,0,0
2019-04-18,0,0,0,360.3500061035156,0,0
2019-04-22,0,0,0,377.3399963378906,0,0
2019-04-23,0,0,0,381.8900146484375,0,0
2019-04-24,0,0,0,374.2300109863281,0,0
2019-04-25,0,0,0,368.3299865722656,0,0
2019-04-26,0,0,0,374.8500061035156,0,0
2019-04-29,0,0,0,371.8299865722656,0,0
2019-04-30,0,0,0,370.5400085449219,0,0
2019-05-01,0,0,0,378.80999755859375,0,0
2019-05-02,0,0,0,379.05999755859375,0,0
2019-05-03,0,0,0,385.0299987792969,0,0
2019-05-06,0,0,0,378.6700134277344,0,0
2019-05-07,0,0,0,370.4599914550781,0,0
2019-05-08,0,0,0,364.3699951171875,0,0
2019-05-09,0,0,0,362.75,0,0
2019-05-10,0,0,0,361.0400085449219,0,0
2019-05-13,0,0,0,345.260009765625,0,0
2019-05-14,0,0,0,345.6099853515625,0,0
2019-05-15,0,0,0,354.989990234375,0,0
2019-05-16,0,0,0,359.30999755859375,0,0
2019-05-17,0,0,0,354.45001220703125,0,0
2019-05-20,0,0,0,348.1099853515625,0,0
2019-05-21,0,0,0,354.2699890136719,0,0
2019-05-22,0,0,0,359.7300109863281,0,0
2019-05-23,0,0,0,352.2099914550781,0,0
2019-05-24,0,0,0,354.3900146484375,0,0
2019-05-28,0,0,0,355.05999755859375,0,0
2019-05-29,0,0,0,349.19000244140625,0,0
2019-05-30,0,0,0,351.8500061035156,0,0
2019-05-31,0,0,0,343.2799987792969,0,0
